time,founder,unselected,contact_FDC,FDC_selected,contact_TC,TC_Selected_by_TC,recycled,apoptosis,affinity,std_affinity,CC_IDs,CB,CC,Pr,Apoptotic
35.000000,413.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.125282141320277E-07,9.8171839420634E-06,Prueba,413,0,Pr,0
36.000000,448.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,5.773464124867756E-07,9.386422377164101E-06,Prueba,448,3,Pr,1
37.000000,483.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,7.601216653895485E-07,9.558259387221994E-06,Prueba,483,6,Pr,6
38.000000,525.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,8.163883575817335E-07,9.203254692810624E-06,Prueba,525,20,Pr,12
39.000000,551.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.000000,8.533586947923768E-07,8.872986047871527E-06,Prueba,551,23,Pr,39
40.000000,580.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73.000000,9.129275344067925E-07,8.698146329661372E-06,Prueba,580,16,Pr,73
41.000000,603.000000,21.000000,0.000000,0.000000,0.000000,0.000000,0.000000,92.000000,9.170550139428161E-07,8.50910629317415E-06,Prueba,603,21,Pr,92
42.000000,634.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112.000000,2.803237360471591E-06,5.397825254662316E-05,Prueba,634,28,Pr,112
43.000000,645.000000,57.000000,0.000000,0.000000,0.000000,0.000000,0.000000,142.000000,3.27731866570319E-06,5.278501082841091E-05,Prueba,645,57,Pr,142
44.000000,659.000000,51.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,3.263580385832775E-06,5.113813739780816E-05,Prueba,659,51,Pr,192
45.000000,668.000000,55.000000,0.000000,0.000000,0.000000,0.000000,0.000000,239.000000,3.365766212485024E-06,4.961831102122483E-05,Prueba,668,55,Pr,239
46.000000,667.000000,44.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.000000,3.361120522639963E-06,4.904695143037981E-05,Prueba,667,44,Pr,274
47.000000,666.000000,48.000000,0.000000,0.000000,0.000000,0.000000,0.000000,308.000000,5.648011749142031E-06,9.015399529636327E-05,Prueba,666,48,Pr,308
48.000000,679.000000,57.000000,0.000000,0.000000,0.000000,0.000000,0.000000,345.000000,5.752080579850789E-06,8.823408284629913E-05,Prueba,679,57,Pr,345
49.000000,691.000000,53.000000,0.000000,0.000000,0.000000,0.000000,0.000000,383.000000,5.920000878407815E-06,8.68869931205022E-05,Prueba,691,53,Pr,383
